"genes","logFC","logCPM","LR","PValue","FDR"
"dp_gene20847",-1.96046031670908,7.14275085147431,24.306442006674,8.2163815673071e-07,6.8879073150582e-05
"dp_gene9757",-2.22196684790346,6.8343188230726,24.2431577759144,8.49081791032342e-07,7.07682678895684e-05
"dp_gene7536",2.9620761169203,5.12119852939296,24.1386559025793,8.9642668314798e-07,7.42849215190271e-05
"dp_gene19396",3.65204092721882,4.55233951863392,24.0945747633527,9.17183357976073e-07,7.55706676494685e-05
"dp_gene834",-1.88548634345838,8.65730138099713,24.0536416945972,9.36889033844296e-07,7.67556987443233e-05
"dp_gene1637",4.49449257169066,5.3500623735838,23.7388073009621,1.10335159142377e-06,8.95496309641983e-05
"dp_gene9997",6.12385658341478,4.53708548278279,23.7351080565334,1.10547432634907e-06,8.95496309641983e-05
"dp_gene20511",-2.19075790766307,6.04404285737076,23.6027791386381,1.1841636701248e-06,9.53880221202761e-05
"dp_gene4486",2.33246004913736,7.52055356353214,23.5165259713671,1.23845416758241e-06,9.92070591242822e-05
"dp_gene16154",-3.93956343305781,3.75731437683245,23.4890152287721,1.25629005784807e-06,0.000100069556756739
"dp_gene15376",-1.9687862700012,6.94477733582016,23.4786123662488,1.26310141686154e-06,0.000100069556756739
"dp_gene11418",3.39795431739809,4.21601121029296,23.1124189777304,1.52800591284368e-06,0.000120395176269361
"dp_gene2870",-2.05972611042369,6.10706192047627,23.0297003401112,1.5951791887435e-06,0.000125004830013546
"dp_gene6339",-1.91410367133153,8.5494062901529,22.9983366818182,1.62141622584816e-06,0.000126253730628482
"dp_gene10944",3.89618996650221,6.44882591470076,22.9898043674877,1.62862846916552e-06,0.000126253730628482
"dp_gene2608",-3.01192588514534,3.87651534696441,22.9714602892523,1.64424360370917e-06,0.000126294950186168
"dp_gene12845",-3.90104631607276,6.6745571147044,22.9686161602054,1.64667803835214e-06,0.000126294950186168
"dp_gene11828",3.22240351002411,4.87644953517375,22.8947396055798,1.71119518978171e-06,0.000130548801277579
"dp_gene12280",2.87033876730109,5.75974949542139,22.5591494341461,2.03771731573095e-06,0.000154641294608024
"dp_gene8860",-2.8959078744462,4.82168182100088,22.4135562184098,2.19817008116573e-06,0.000165944578012192
"dp_gene15822",-1.8194098877388,8.44633390094993,22.2053878666152,2.44985349518842e-06,0.000183458651813095
"dp_gene13941",3.33643085017394,4.55141459249171,22.1937027403931,2.46480903517262e-06,0.000183458651813095
